"source","destination","freezing_time(us)","frozen_time(us)","memory_dump_time(us)","memory_write_time(us)","irmap_resolve_time(us)","memory_pages_scanned(dec)","memory_pages_skipped_from_parent(dec)","memory_pages_written(dec)","lazy_memory_pages(dec)","pages_compared(dec)","pages_skipped_cow(dec)","pages_restored(dec)","restore_time(us)","forking_time(us)","start_checkpoint","end_checkpoint","start_restore","end_restore","migration_success","count1","count2"
"c6i.16xlarge","m5a.2xlarge","11288","23436950","972400","847237","0","5697357","0","545745","0","0","0","545745","174176515","5","2023-09-20T21:32:54","2023-09-20T21:33:25","2023-09-20T21:34:11","2023-09-20T21:37:29","false","32","32"
"c5.9xlarge","r4.8xlarge","7368","446562033","1218210","1098835","0","4386015","0","505648","0","0","0","505648","146209769","8","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T15:06:23","2023-09-19T15:10:48","false","96","96"
"c6a.large","r4.large","281","438096493","385058900","384978231","0","3625092","0","484371","0","0","0","484371","142911695","8","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:41:52","2023-09-19T13:44:38","true","12","17"
"c6a.24xlarge","c5.large","14694","457922296","18238924","18036237","0","6531956","0","580077","0","0","0","580077","173371740","4","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:11:37","2023-09-19T14:14:42","true","83","92"
"r4.16xlarge","m5a.8xlarge","23674","455299894","1785667","1492460","0","5698403","0","545882","0","0","0","545882","161152520","5","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:44:30","2023-09-19T14:47:32","false","85","85"
"h1.16xlarge","r4.large","22018","454405390","23329346","22991933","0","5569091","0","541870","0","0","0","541870","160340065","8","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:24:50","2023-09-19T14:27:52","true","58","64"
"c6a.large","c6a.24xlarge","281","438096493","385058900","384978231","0","3625092","0","484371","0","0","0","484371","141017877","2","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:41:52","2023-09-19T13:44:38","true","13","25"
"c6i.large","c5.9xlarge","259","428983344","374785386","374723547","0","2987945","0","467219","0","0","0","467219","136702356","10","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:49:06","2023-09-19T14:51:38","true","14","25"
"m5a.large","m5n.large","503","429761277","209554218","209446984","0","2987833","0","467217","0","0","0","467217","131513935","4","2023-09-19T13:16:11","2023-09-19T13:23:59","2023-09-19T13:24:48","2023-09-19T13:27:22","true","9","16"
"m4.16xlarge","c5.9xlarge","22121","452015919","1712099","1449854","0","5514512","0","528839","0","0","0","528839","156371692","4","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:35:35","2023-09-19T14:38:32","false","47","47"
"c5a.24xlarge","c5.large","16924","458224522","1043556","862057","0","6274192","0","584358","0","0","0","584358","173895188","3","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:06:50","2023-09-19T14:10:04","true","79","87"
"c5.large","r4.16xlarge","292","422646250","366107890","366031889","0","3029150","0","467220","0","0","0","467220","138054319","7","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:53:14","2023-09-19T14:55:48","false","12","12"
"m5a.2xlarge","m5zn.6xlarge","3443","440108703","1339180","1227616","0","3781041","0","489901","0","0","0","489901","143699408","3","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:28:55","2023-09-19T13:31:36","true","41","93"
"m5a.large","c6a.large","496","18802562","7841003","7697540","0","2987871","0","467217","0","0","0","467217","46151343","4","2023-09-20T13:52:34","2023-09-20T13:53:01","2023-09-20T13:53:46","2023-09-20T13:54:42","true","5","13"
"c5d.9xlarge","x1e.8xlarge","5356","21515891","1138521","1031793","0","4285770","0","497082","0","0","0","497082","145738936","8","2023-09-20T21:48:28","2023-09-20T21:48:56","2023-09-20T21:49:38","2023-09-20T21:52:32","false","21","21"
"m5a.8xlarge","r4.large","10941","443939443","1537851","1309672","0","4240092","0","493750","0","0","0","493750","143829435","8","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:33:20","2023-09-19T13:36:00","false","38","38"
"m4.large","i3.large","533","430252402","209987569","209856054","0","2987976","0","467219","0","0","0","467219","137890735","8","2023-09-19T13:16:12","2023-09-19T13:24:00","2023-09-19T13:46:06","2023-09-19T13:48:40","true","6","10"
"i3.large","c5d.9xlarge","507","19036565","1505907","1377411","0","2987944","0","467219","0","0","0","467219","17108304","10","2023-09-20T15:31:25","2023-09-20T15:31:53","2023-09-20T15:32:36","2023-09-20T15:33:04","true","5","15"
"c5.9xlarge","m5a.8xlarge","7368","446562033","1218210","1098835","0","4386015","0","505648","0","0","0","505648","147521865","6","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T15:06:23","2023-09-19T15:10:48","false","96","96"
"m5a.2xlarge","h1.8xlarge","3443","440108703","1339180","1227616","0","3781041","0","489901","0","0","0","489901","143610273","12","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T13:28:55","2023-09-19T13:31:36","true","37","70"
"c5d.9xlarge","m4.large","5356","21515891","1138521","1031793","0","4285770","0","497082","0","0","0","497082","145461133","8","2023-09-20T21:48:28","2023-09-20T21:48:56","2023-09-20T21:49:37","2023-09-20T21:52:30","false","21","21"
"m4.large","h1.2xlarge","533","430252402","209987569","209856054","0","2987976","0","467219","0","0","0","467219","132847078","7","2023-09-19T13:16:12","2023-09-19T13:24:00","2023-09-19T13:46:06","2023-09-19T13:48:40","true","6","15"
"r4.16xlarge","h1.16xlarge","25243","23119180","1763727","1481714","0","5505147","0","528846","0","0","0","528846","76390491","7","2023-09-20T20:57:12","2023-09-20T20:57:43","2023-09-20T20:58:24","2023-09-20T21:00:00","true","32","70"
"m5zn.6xlarge","c6i.16xlarge","3175","19227053","927687","851380","0","3791078","0","465192","0","0","0","465192","127992746","10","2023-09-20T22:04:18","2023-09-20T22:04:45","2023-09-20T22:05:35","2023-09-20T22:08:19","true","49","101"
"c6i.16xlarge","x1e.8xlarge","11288","23436950","972400","847237","0","5697357","0","545745","0","0","0","545745","163341998","8","2023-09-20T21:32:54","2023-09-20T21:33:25","2023-09-20T21:34:11","2023-09-20T21:37:29","false","32","32"
"m4.large","h1.8xlarge","533","430252402","209987569","209856054","0","2987976","0","467219","0","0","0","467219","136403574","7","2023-09-19T13:16:12","2023-09-19T13:24:00","2023-09-19T13:46:06","2023-09-19T13:48:40","true","6","15"
"c4.8xlarge","m5.large","10449","444673536","1350431","1177110","0","4469695","0","496141","0","0","0","496141","147703777","5","2023-09-19T13:16:11","2023-09-19T13:24:00","2023-09-19T14:16:22","2023-09-19T14:19:01","false","55","55"
